queue_rank,spotcheck_id,spotcheck_priority,impact_row_count,selection_reason,triplet_cluster_id,district_cluster_id,district_cluster_size,province_code,province_name,city_code,city_name,district_code,district_name,village_code,village_name,postal_code_diskominfo,postal_code_open_data_jabar,postal_code_kodepos_dev,unresolved_pattern,search_term,search_context,official_search_url,review_status,official_postal_code,matched_sources,evidence_checked_at,evidence_url,review_note
1,POS-49F6B3040293,P0_missing_source,10,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-A2DD5BB38B5B,DIST-8A10DCEBAD2D,10,32,JAWA BARAT,32.07,KAB. CIAMIS,32.07.37,BANJARANYAR,32.07.37.2001,PASAWAHAN,46283,,46384,open_data_jabar_missing_api_diskominfo_different,PASAWAHAN,PASAWAHAN | BANJARANYAR | KAB. CIAMIS | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,observed_matches_source,46283,diskominfo,2026-08-11,https://kodepos.posindonesia.co.id/CariKodepos,Selected manual query 'PASAWAHAN'; official result row matched Pasawahan / Banjaranyar / Kab. Ciamis / Jawa Barat. Evidence remains on hold and is not promoted automatically.
52,POS-4E47A3753EC5,P2_medium_impact,5,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-074E12B7C0D0,DIST-724EB5F71DA0,7,32,JAWA BARAT,32.05,KAB. GARUT,32.05.21,SUKARESMI,32.05.21.2002,CINTADAMAI,44155,44163,44154,all_three_different,CINTADAMAI,CINTADAMAI | SUKARESMI | KAB. GARUT | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
53,POS-52622286BA07,P2_medium_impact,5,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-D5674432D8B5,DIST-F68BEDF212F6,7,32,JAWA BARAT,32.13,KAB. SUBANG,32.13.24,SUKASARI,32.13.24.2001,ANGGASARI,41268,41254,41250,all_three_different,ANGGASARI,ANGGASARI | SUKASARI | KAB. SUBANG | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
54,POS-6FD6E82B1B44,P2_medium_impact,5,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-D8C0CA908C9C,DIST-CBD2CAF5D74F,6,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.12,NAGRAK,32.02.12.2001,KALAPAREA,43342,43356,43352,all_three_different,KALAPAREA,KALAPAREA | NAGRAK | KAB. SUKABUMI | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
55,POS-3254D3C2250A,P3_targeted,4,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-885E47184FC8,DIST-0A91CE8C52D5,12,32,JAWA BARAT,32.05,KAB. GARUT,32.05.05,TAROGONG KIDUL,32.05.05.2005,CIBUNAR,44129,44151,44150,all_three_different,CIBUNAR,CIBUNAR | TAROGONG KIDUL | KAB. GARUT | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
56,POS-E1170F872A12,P3_targeted,4,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-B69D7B1A3C6C,DIST-CF09B868EAED,7,32,JAWA BARAT,32.03,KAB. CIANJUR,32.03.31,HAURWANGI,32.03.31.2001,HAURWANGI,43286,43283,43280,all_three_different,HAURWANGI,HAURWANGI | HAURWANGI | KAB. CIANJUR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
57,POS-6174BAC8C6D1,P3_targeted,4,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-4F307F43C6EB,DIST-30256EA4F45A,5,32,JAWA BARAT,32.05,KAB. GARUT,32.05.32,MEKARMUKTI,32.05.32.2001,MEKARMUKTI,44199,44165,44155,all_three_different,MEKARMUKTI,MEKARMUKTI | MEKARMUKTI | KAB. GARUT | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
58,POS-D76771C163D7,P3_targeted,3,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-ADDF31DA92A1,DIST-CFE8F3C5001C,13,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,32.01.04.2005,NAGRAK,16714,16710,16711,all_three_different,NAGRAK,NAGRAK | SUKARAJA | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
59,POS-DE86FA0B99F0,P3_targeted,3,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-8AF753A407F3,DIST-8A341691BE07,10,32,JAWA BARAT,32.15,KAB. KARAWANG,32.15.30,CILEBAR,32.15.30.2008,CIPTAMARGI,41387,41385,41350,all_three_different,CIPTAMARGI,CIPTAMARGI | CILEBAR | KAB. KARAWANG | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
60,POS-903BCA6DD5E5,P3_targeted,3,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-44F2F1A71A89,DIST-39E7B2C3CA28,8,32,JAWA BARAT,32.13,KAB. SUBANG,32.13.26,KASOMALANG,32.13.26.2006,KASOMALANG WETAN,41289,41281,41287,all_three_different,KASOMALANG WETAN,KASOMALANG WETAN | KASOMALANG | KAB. SUBANG | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
61,POS-3E311D654508,P3_targeted,3,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-648D30160703,DIST-CF09B868EAED,7,32,JAWA BARAT,32.03,KAB. CIANJUR,32.03.31,HAURWANGI,32.03.31.2005,MEKARWANGI,43286,43282,43280,all_three_different,MEKARWANGI,MEKARWANGI | HAURWANGI | KAB. CIANJUR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
62,POS-61C75D8E3455,P3_targeted,3,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-A4D9D42E9DC9,DIST-A6D7BF7A8A97,6,32,JAWA BARAT,32.78,KOTA TASIKMALAYA,32.78.10,PURBARATU,32.78.10.1001,SUKANAGARA,46118,46196,46190,all_three_different,SUKANAGARA,SUKANAGARA | PURBARATU | KOTA TASIKMALAYA | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
63,POS-6C225F079019,P3_targeted,3,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-EFD052EF7D89,DIST-A6D7BF7A8A97,6,32,JAWA BARAT,32.78,KOTA TASIKMALAYA,32.78.10,PURBARATU,32.78.10.1004,SUKAASIH,46119,46196,46190,all_three_different,SUKAASIH,SUKAASIH | PURBARATU | KOTA TASIKMALAYA | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
64,POS-64E8862460A0,P3_targeted,2,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-57C9F601F394,DIST-CFE8F3C5001C,13,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,32.01.04.2010,CIMANDALA,16716,16710,16711,all_three_different,CIMANDALA,CIMANDALA | SUKARAJA | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
65,POS-A1000A289119,P3_targeted,2,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-6FB52CE8494F,DIST-CFE8F3C5001C,13,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,32.01.04.2002,CILEBUT TIMUR,16718,16710,16711,all_three_different,CILEBUT TIMUR,CILEBUT TIMUR | SUKARAJA | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
66,POS-10D35CDC8D02,P3_targeted,2,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-6DAC075E72D7,DIST-0DBB321B096F,13,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.17,PAMIJAHAN,32.01.17.2012,GUNUNG PICUNG,16696,16810,16812,all_three_different,GUNUNG PICUNG,GUNUNG PICUNG | PAMIJAHAN | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
67,POS-AB3A4198AD71,P3_targeted,2,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-7C30B2116537,DIST-0DBB321B096F,13,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.17,PAMIJAHAN,32.01.17.2013,CIASIHAN,16695,16810,16812,all_three_different,CIASIHAN,CIASIHAN | PAMIJAHAN | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
68,POS-FBFCEB8C0FB0,P3_targeted,2,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-AB0261299114,DIST-0DBB321B096F,13,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.17,PAMIJAHAN,32.01.17.2007,CIMAYANG,16698,16810,16812,all_three_different,CIMAYANG,CIMAYANG | PAMIJAHAN | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
69,POS-76003F59B2E1,P3_targeted,2,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-B1A8A56F0324,DIST-0DBB321B096F,13,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.17,PAMIJAHAN,32.01.17.2003,CIBITUNGWETAN,16692,16810,16812,all_three_different,CIBITUNGWETAN,CIBITUNGWETAN | PAMIJAHAN | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
70,POS-F3009DD48E16,P3_targeted,2,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-D19065A0C40F,DIST-0DBB321B096F,13,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.17,PAMIJAHAN,32.01.17.2004,GUNUNGMENYAN,16699,16810,16812,all_three_different,GUNUNGMENYAN,GUNUNGMENYAN | PAMIJAHAN | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
71,POS-F5812825F107,P3_targeted,2,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-71286E38B37C,DIST-D5B42F5CB317,11,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,32.01.03.1007,KARANG ASEM BARAT,16812,16810,16811,all_three_different,KARANG ASEM BARAT,KARANG ASEM BARAT | CITEUREUP | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
72,POS-791B33FCA30E,P3_targeted,2,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-9B460AD07CBB,DIST-D5B42F5CB317,11,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,32.01.03.2005,SANJA,16814,16810,16811,all_three_different,SANJA,SANJA | CITEUREUP | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
73,POS-832428291141,P3_targeted,2,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-FD535C2C7A21,DIST-D5B42F5CB317,11,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,32.01.03.2009,TARIKOLOT,16819,16810,16811,all_three_different,TARIKOLOT,TARIKOLOT | CITEUREUP | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
74,POS-E69EB321729E,P3_targeted,2,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-3CBA8366D19B,DIST-CDECEF2B458C,10,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.09,SUKAMAKMUR,32.01.09.2001,WARGAJAYA,16883,16830,16831,all_three_different,WARGAJAYA,WARGAJAYA | SUKAMAKMUR | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
75,POS-3879F6BD8DE3,P3_targeted,2,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-1D9411B9421B,DIST-0F2B51876381,8,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.36,TANJUNGSARI,32.01.36.2008,SIRNASARI,16852,16266,16841,all_three_different,SIRNASARI,SIRNASARI | TANJUNGSARI | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
76,POS-BA7212CB914E,P3_targeted,2,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-3565CC703115,DIST-366FDDEFA12C,8,32,JAWA BARAT,32.16,KAB. BEKASI,32.16.09,CIKARANG UTARA,32.16.09.2003,KARANGASIH,17839,17530,17534,all_three_different,KARANGASIH,KARANGASIH | CIKARANG UTARA | KAB. BEKASI | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
77,POS-00446DC61A10,P3_targeted,2,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-2D17AF1AEB33,DIST-E87E32CF8C7F,8,32,JAWA BARAT,32.78,KOTA TASIKMALAYA,32.78.07,TAMANSARI,32.78.07.1003,TAMANJAYA,46147,46196,46191,all_three_different,TAMANJAYA,TAMANJAYA | TAMANSARI | KOTA TASIKMALAYA | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
78,POS-3538DFD835E8,P3_targeted,2,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-55BE25C00ADA,DIST-E87E32CF8C7F,8,32,JAWA BARAT,32.78,KOTA TASIKMALAYA,32.78.07,TAMANSARI,32.78.07.1005,SETIAWARGI,46148,46196,46191,all_three_different,SETIAWARGI,SETIAWARGI | TAMANSARI | KOTA TASIKMALAYA | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
79,POS-C561D56539D1,P3_targeted,2,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-CDAAC22C6BA2,DIST-E87E32CF8C7F,8,32,JAWA BARAT,32.78,KOTA TASIKMALAYA,32.78.07,TAMANSARI,32.78.07.1001,TAMANSARI,46146,46196,46191,all_three_different,TAMANSARI,TAMANSARI | TAMANSARI | KOTA TASIKMALAYA | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
80,POS-62D67B9B5723,P3_targeted,2,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-D130F3F8778E,DIST-E87E32CF8C7F,8,32,JAWA BARAT,32.78,KOTA TASIKMALAYA,32.78.07,TAMANSARI,32.78.07.1006,MULYASARI,46149,46196,46191,all_three_different,MULYASARI,MULYASARI | TAMANSARI | KOTA TASIKMALAYA | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
81,POS-ADF1594A401C,P3_targeted,2,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-51C14735EB56,DIST-67E8CD0C0EB0,6,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.40,TENJOLAYA,32.01.40.2001,TAPOS I,40395,16271,16371,all_three_different,TAPOS I,TAPOS I | TENJOLAYA | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
82,POS-100DB9B7038B,P3_targeted,2,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-175636FE555C,DIST-8D8E0B550D4D,2,32,JAWA BARAT,32.09,KABUPATEN CIREBON,32.09.21,GUNUNG JATI,32.09.21.2016,SAMBENG,45659,45151,45150,all_three_different,SAMBENG,SAMBENG | GUNUNG JATI | KABUPATEN CIREBON | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
83,POS-A47587FA527D,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-090D4655C7D8,DIST-CFE8F3C5001C,13,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,32.01.04.2007,SUKARAJA,16719,38877,16711,all_three_different,SUKARAJA,SUKARAJA | SUKARAJA | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
84,POS-DCBE42180ED0,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-8F5570BCC039,DIST-CFE8F3C5001C,13,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,32.01.04.2001,GUNUNGGEULIS,16713,16710,16711,all_three_different,GUNUNGGEULIS,GUNUNGGEULIS | SUKARAJA | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
85,POS-FC46673DB5BA,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-BC079B728428,DIST-CFE8F3C5001C,13,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,32.01.04.2006,SUKATANI,16719,16710,16711,all_three_different,SUKATANI,SUKATANI | SUKARAJA | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
86,POS-2154AEE508E9,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-CBDD40EAF17C,DIST-CFE8F3C5001C,13,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,32.01.04.2004,CIBANON,16712,16710,16711,all_three_different,CIBANON,CIBANON | SUKARAJA | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
87,POS-72318984D645,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-EC59EA55DB5A,DIST-CFE8F3C5001C,13,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,32.01.04.2013,PASIRLAJA,16715,16710,16711,all_three_different,PASIRLAJA,PASIRLAJA | SUKARAJA | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
88,POS-8EE84749DCBC,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-F57B604AF08F,DIST-CFE8F3C5001C,13,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.04,SUKARAJA,32.01.04.2009,PASIR JAMBU,16717,16710,16711,all_three_different,PASIR JAMBU,PASIR JAMBU | SUKARAJA | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
89,POS-F3E62C6F3A97,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-5A4F6B733DE8,DIST-0DBB321B096F,13,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.17,PAMIJAHAN,32.01.17.2001,PURWABAKTI,16694,16810,16812,all_three_different,PURWABAKTI,PURWABAKTI | PAMIJAHAN | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
90,POS-9C9F03DA83CE,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-8478D492BF8D,DIST-0DBB321B096F,13,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.17,PAMIJAHAN,32.01.17.2002,CIBUNIAN,16693,16810,16812,all_three_different,CIBUNIAN,CIBUNIAN | PAMIJAHAN | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
91,POS-FE35623886D5,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-F5B7BA59C325,DIST-0DBB321B096F,13,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.17,PAMIJAHAN,32.01.17.2008,PAMIJAHAN,16691,16810,16812,all_three_different,PAMIJAHAN,PAMIJAHAN | PAMIJAHAN | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
92,POS-A5ADD17C2911,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-10B5A6941C9A,DIST-0A91CE8C52D5,12,32,JAWA BARAT,32.05,KAB. GARUT,32.05.05,TAROGONG KIDUL,32.05.05.1012,SUKAJAYA,44128,44151,44150,all_three_different,SUKAJAYA,SUKAJAYA | TAROGONG KIDUL | KAB. GARUT | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
93,POS-691CC0D7978E,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-4CAD2BC40F4C,DIST-0A91CE8C52D5,12,32,JAWA BARAT,32.05,KAB. GARUT,32.05.05,TAROGONG KIDUL,32.05.05.2003,JAYARAGA,44122,44151,44150,all_three_different,JAYARAGA,JAYARAGA | TAROGONG KIDUL | KAB. GARUT | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
94,POS-842BBF6EEE21,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-61907F51DE2D,DIST-0A91CE8C52D5,12,32,JAWA BARAT,32.05,KAB. GARUT,32.05.05,TAROGONG KIDUL,32.05.05.1002,SUKAGALIH,44125,44151,44150,all_three_different,SUKAGALIH,SUKAGALIH | TAROGONG KIDUL | KAB. GARUT | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
95,POS-D865017FD795,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-637FCA1AC19E,DIST-0A91CE8C52D5,12,32,JAWA BARAT,32.05,KAB. GARUT,32.05.05,TAROGONG KIDUL,32.05.05.1009,SUKAKARYA,44127,44151,44150,all_three_different,SUKAKARYA,SUKAKARYA | TAROGONG KIDUL | KAB. GARUT | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
96,POS-05443627278E,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-8E256F38C3B5,DIST-0A91CE8C52D5,12,32,JAWA BARAT,32.05,KAB. GARUT,32.05.05,TAROGONG KIDUL,32.05.05.1006,JAYAWARAS,44123,44151,44150,all_three_different,JAYAWARAS,JAYAWARAS | TAROGONG KIDUL | KAB. GARUT | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
97,POS-393AF815F07B,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-A65FA1A3BC4E,DIST-0A91CE8C52D5,12,32,JAWA BARAT,32.05,KAB. GARUT,32.05.05,TAROGONG KIDUL,32.05.05.2008,TAROGONG,44126,44151,44150,all_three_different,TAROGONG,TAROGONG | TAROGONG KIDUL | KAB. GARUT | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
98,POS-43A002501AA8,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-CA391D8F7E0F,DIST-0A91CE8C52D5,12,32,JAWA BARAT,32.05,KAB. GARUT,32.05.05,TAROGONG KIDUL,32.05.05.2004,HAURPANGGUNG,44124,44151,44150,all_three_different,HAURPANGGUNG,HAURPANGGUNG | TAROGONG KIDUL | KAB. GARUT | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
99,POS-0EE2C75CD5B5,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-D5C176DA5A57,DIST-0A91CE8C52D5,12,32,JAWA BARAT,32.05,KAB. GARUT,32.05.05,TAROGONG KIDUL,32.05.05.1001,PATARUMAN,44121,44151,44150,all_three_different,PATARUMAN,PATARUMAN | TAROGONG KIDUL | KAB. GARUT | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
100,POS-0F02D4DFC6BE,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-31C743166D50,DIST-D5B42F5CB317,11,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,32.01.03.2014,PASIRMUKTI,16818,16810,16811,all_three_different,PASIRMUKTI,PASIRMUKTI | CITEUREUP | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
101,POS-E439B47C93E6,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-3B09927B15E2,DIST-D5B42F5CB317,11,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,32.01.03.2013,HAMBALANG,16816,16810,16811,all_three_different,HAMBALANG,HAMBALANG | CITEUREUP | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
102,POS-72D5B8AE1236,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-83DFC76C8ABB,DIST-D5B42F5CB317,11,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,32.01.03.2003,LEUWINUTUG,16813,16810,16811,all_three_different,LEUWINUTUG,LEUWINUTUG | CITEUREUP | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
103,POS-7C019166EE5B,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-84070CF2C785,DIST-D5B42F5CB317,11,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,32.01.03.2011,TANGKIL,16815,16810,16811,all_three_different,TANGKIL,TANGKIL | CITEUREUP | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
104,POS-95DAEDE51C58,P3_targeted,1,"Lowest village code representing one exact source-postal triplet; result is evidence for follow-up, not automatic propagation to the cluster.",TRIP-8678FD291DB7,DIST-D5B42F5CB317,11,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.03,CITEUREUP,32.01.03.2004,TAJUR,16817,16810,16811,all_three_different,TAJUR,TAJUR | CITEUREUP | KAB. BOGOR | JAWA BARAT,https://kodepos.posindonesia.co.id/CariKodepos,pending,,,,,
